UserID,Username,Email,Password,SubscriptionID,Subscription_Duration
1,AlexSmith,alexsmith@example.com,pass123,3,1 month
2,Jamie_F,jamief@example.com,pass124,2,6 month
3,ChrisP,chrisp@example.com,pass125,5,12 month
4,JordanK,jordank@example.com,pass126,10,1 month
5,SamT,samt@example.com,pass127,8,3 month
6,PatW,patw@example.com,pass128,7,6 month
7,TaylorR,taylorr@example.com,pass129,3,12 month
8,MorganC,morganc@example.com,pass130,6,3 month
9,CaseyB,caseyb@example.com,pass131,1,3 month
10,DrewA,drewa@example.com,pass132,4,1 month
11,JordanM,jordanm@example.com,pass133,4,12 month
12,CharlieG,charlieg@example.com,pass134,9,6 month
13,SydneyJ,sydneyj@example.com,pass135,8,1 month
14,AlexisT,alexist@example.com,pass136,6,6 month
15,TaylorM,taylorm@example.com,pass137,1,6 month
